Source File Path,Code Lines,Comment Lines,Mixed Lines,Blank Lines,Total Lines
C:\ppm8-dev\app\user\javaNetUser\signup-step3.php,151,0,0,29,180
C:\ppm8-dev\app\user\login.php,114,5,0,30,149
C:\ppm8-dev\app\user\logout.php,14,0,0,4,18
C:\ppm8-dev\app\user\profile\index.php,3,0,0,0,3
C:\ppm8-dev\app\user\profile\viewProfile.php,176,4,0,48,228
C:\ppm8-dev\app\user\student\index.php,3,0,0,0,3
C:\ppm8-dev\app\user\student\signup-step1.php,128,0,0,29,157
C:\ppm8-dev\app\user\student\signup-step2.php,193,0,0,30,223
C:\ppm8-dev\app\user\student\signup-step3.php,166,0,0,29,195
C:\ppm8-dev\app\user\viewProfile.php,158,10,0,59,227
C:\ppm8-dev\app\workspace\createWorkspace.php,124,0,1,15,140
C:\ppm8-dev\app\workspace\index.php,3,0,0,0,3
C:\ppm8-dev\app\workspace\shareWorkspace.php,153,8,0,27,188
C:\ppm8-dev\app\workspace\updateForm.php,74,0,0,0,74
C:\ppm8-dev\app\workspace\updateWorkspace.php,168,5,0,34,207
C:\ppm8-dev\app\workspace\viewWorkspace.php,226,2,1,37,266
C:\ppm8-dev\app\workspace\workspaceCollection.php,224,1,0,39,264
C:\ppm8-dev\app\workspace\wsStateReminder.html,6,0,0,0,6
C:\ppm8-dev\build.xml,143,8,0,20,171
C:\ppm8-dev\propel\runtime-conf.xml,12,8,3,1,24
C:\ppm8-dev\propel\schema.xml,188,1,0,0,189
C:\ppm8-dev\propel\schema-transformed.xml,4,0,0,0,4
Totals (226 files),24,866 (53.78%),14,462 (31.28%),693 (1.49%),6,209 (13.43%),46,230
